id,dateadded,url,url_status,threat,tags,urlhaus_link,reporter
"2107670","2022-03-20 17:20:04","http://83.254.147.117:57216/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2107670/","geenensp"
"2107636","2022-03-20 16:48:05","http://111.225.11.80:38601/i","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2107636/","geenensp"
"2107632","2022-03-20 16:36:07","http://111.225.11.80:38601/bin.sh","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2107632/","geenensp"
"2107587","2022-03-20 16:07:04","http://39.89.211.94:55310/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2107587/","lrz_urlhaus"
"2107568","2022-03-20 15:49:05","http://182.121.153.224:58110/Mozi.m","online","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2107568/","lrz_urlhaus"
"2107528","2022-03-20 15:04:05","http://120.4.219.191:57338/Mozi.m","online","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2107528/","lrz_urlhaus"
"2107524","2022-03-20 14:59:07","http://121.140.203.59:11406/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2107524/","geenensp"
"2107519","2022-03-20 14:51:06","http://203.219.91.82:55837/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2107519/","geenensp"
"2107482","2022-03-20 14:42:05","https://thesitebuilders.in/telephone/?redacted","online","malware_download","Flubot","https://urlhaus.abuse.ch/url/2107482/","switchcert"
"2107404","2022-03-20 14:20:04","http://222.137.211.178:54632/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2107404/","lrz_urlhaus"
"2107393","2022-03-20 14:18:09","http://122.194.49.15:32795/i","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2107393/","geenensp"
"2107347","2022-03-20 13:34:05","http://113.194.130.234:33517/Mozi.a","online","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2107347/","lrz_urlhaus"
"2107341","2022-03-20 13:23:04","http://221.1.227.4:38983/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2107341/","geenensp"
"2107333","2022-03-20 13:19:05","http://124.91.78.41:55725/Mozi.a","online","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2107333/","lrz_urlhaus"
"2107284","2022-03-20 12:29:05","http://113.215.43.60:28156/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2107284/","geenensp"
"2107273","2022-03-20 12:20:05","http://37.53.201.116:47668/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2107273/","lrz_urlhaus"
"2107265","2022-03-20 12:12:10","http://221.1.227.4:38983/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2107265/","geenensp"
"2107261","2022-03-20 12:06:10","http://221.214.207.15:37975/Mozi.a","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2107261/","lrz_urlhaus"
"2107262","2022-03-20 12:06:10","http://180.177.246.35:36256/i","online","malware_download","32-bit,arm,elf,Mozi","https://urlhaus.abuse.ch/url/2107262/","geenensp"
"2107247","2022-03-20 12:03:05","http://190.88.71.239:55412/Mozi.m","online","malware_download","Mozi","https://urlhaus.abuse.ch/url/2107247/","Gandylyan1"
"2107224","2022-03-20 11:44:05","http://189.176.83.68:6102/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2107224/","geenensp"
"2107205","2022-03-20 11:24:07","http://171.97.67.231:34891/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2107205/","geenensp"
